col1,col2,col3
7,6,7
7,6,6
8,1,5
5,9,8
6,10,4
3,9,1
3,4,3
6,1,10
6,2,7
8,3,3
4,3,7
1,5,6
6,10,7
8,3,8
6,10,6
1,2,2
4,2,9
7,9,2
6,6,8
3,4,5
6,5,8
6,2,4
4,4,4
8,9,3
2,9,2
31,35,17
37,45,36
45,22,34
44,40,34
39,32,32
29,19,21
16,40,15
39,49,21
40,23,25
38,42,47
46,19,31
31,17,20
22,42,37
35,17,33
30,20,25
26,36,49
33,47,30
38,19,34
39,33,42
33,48,45
29,40,27
38,38,25
27,34,34
33,47,45
36,17,34
16,44,38
87,99,76
98,100,93
71,89,87
74,68,87
72,80,71
86,66,78
90,61,91
67,79,88
60,95,83
94,74,74
76,94,76
77,88,85
91,84,71
79,75,98
73,83,81
85,61,85
72,96,64
71,63,89
73,99,71
64,74,79
68,94,76
97,97,70
82,91,72
100,62,77
